dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
sierpinski,1,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.481253250007285,0.44067150354385376,0.5295315980911255,0.9875,0.98,0.9876230767293697,0.9777183600713013,0.9777183600713013,0.9777183600713013,0.9777183600713013,0.007500000000000062,1.8276892236800635,1.7526123382880052,0.09581274539232254,7.416068077087402,199.22080993652344,0.7569184899330139,20,5.453972208022606,1924672
sierpinski,1,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.561892500001704,0.26229456067085266,0.6179899573326111,0.9975,0.96,0.9976958525345623,0.9696969696969697,0.9565972222222222,0.9473684210526316,0.9696969696969697,0.03750000000000009,1.2068239117788357,0.9583833512164972,0.011246271431446075,152.97877502441406,50.56047439575195,0.35449135303497314,20,21.68706020800164,1924672
sierpinski,1,fs,8,quack_embedding,random_kta,2,8,0.2,20,102.16132458302309,0.08880778402090073,0.6462715864181519,1.0,0.93,1.0,0.9041889483065954,0.9188969991889699,0.9405050995628946,0.9041889483065954,0.06999999999999995,0.9900194673215771,0.4386406195678943,0.0027893821243196726,373.77093505859375,21.691287994384766,0.0935940071940422,20,93.40206191700418,1924672
sierpinski,2,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.1023577080050018,0.02629125490784645,0.7475218772888184,0.6375,0.66,0.6367882954345143,0.6568627450980392,0.6427070197562001,0.6428571428571428,0.6568627450980392,-0.022500000000000075,0.729641149923764,0.679597973977296,0.09721682965755463,5.558203220367432,194.16966247558594,0.03938956931233406,20,0.8867231670010369,1924672
sierpinski,2,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.518203208979685,0.034989431500434875,0.6258660554885864,0.7675,0.66,0.765165823071693,0.6568627450980392,0.6427070197562001,0.6428571428571428,0.6568627450980392,0.10749999999999993,0.7291262958059735,0.6768213944167293,0.013523027300834656,84.04866790771484,63.13764953613281,0.04134417325258255,20,5.460700333002023,1924672
sierpinski,2,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.918291666021105,0.048503272235393524,0.6405195593833923,0.935,0.64,0.9332426783510865,0.6131907308377897,0.609375,0.6078098471986417,0.6131907308377897,0.29500000000000004,0.7940539937766922,0.3716069540281749,0.004533230792731047,275.5861511230469,29.948637008666992,0.05120067298412323,20,21.975398250011494,1924672
sierpinski,2,pca,8,quack_embedding,random_kta,2,8,0.2,20,102.68250662498758,0.052879128605127335,0.6518901586532593,1.0,0.66,1.0,0.5641711229946524,0.5582120582120582,0.5975609756097561,0.5641711229946524,0.33999999999999997,0.9106614725040629,0.2247250289771376,0.002635431010276079,383.9549560546875,20.980632781982422,0.052222661674022675,20,93.7052367090073,1924672
sierpinski,2,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1469825000094716,0.027229761704802513,0.8086417317390442,0.625,0.72,0.6167056986729118,0.6809269162210339,0.6834011759384894,0.6865808823529411,0.6809269162210339,-0.09499999999999997,0.6884131008537403,0.6580438834187403,0.0965581089258194,5.882962226867676,190.9188690185547,0.03439459949731827,20,0.8835794170154259,1924672
sierpinski,2,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.486382582981605,0.016402730718255043,0.7077106833457947,0.6825,0.62,0.669701090377981,0.5552584670231729,0.5558672276764843,0.5615079365079365,0.5552584670231729,0.0625,0.681250538350802,0.6510306369396716,0.03308980539441109,35.531707763671875,106.01075744628906,0.019361626356840134,20,5.448943915980635,1924672
sierpinski,2,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.550194290990476,0.04655599966645241,0.6799111366271973,0.9725,0.52,0.9703734481629775,0.4652406417112299,0.4652406417112299,0.4652406417112299,0.4652406417112299,0.4525,0.818659020271651,0.37520491401712425,0.0032104449346661568,333.92724609375,24.579416275024414,0.047719068825244904,20,21.688534666987834,1924672
sierpinski,2,rp,8,quack_embedding,random_kta,2,8,0.2,20,101.85695683400263,0.0506768561899662,0.6482580900192261,0.9975,0.58,0.9972677595628415,0.4964349376114082,0.4900437105390966,0.4956140350877193,0.4964349376114082,0.4175000000000001,0.9072190970438669,0.17531728508621203,0.002601267071440816,387.45306396484375,20.737049102783203,0.051788222044706345,20,92.98974058302701,1924672
sierpinski,2,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.125658041011775,0.023631922900676727,0.6998313665390015,0.625,0.64,0.6038629095212913,0.5775401069518716,0.5792426367461431,0.5863095238095238,0.5775401069518716,-0.015000000000000013,0.7320125330355421,0.6980209917878235,0.08104071766138077,7.774513244628906,153.98153686523438,0.025844674557447433,20,0.8904360000160523,1924672
sierpinski,2,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.556162375025451,0.036017920821905136,0.7045384049415588,0.805,0.58,0.8022965928835839,0.5392156862745098,0.5384615384615385,0.5381944444444444,0.5392156862745098,0.2250000000000001,0.722167459595517,0.6601472545859124,0.012522445991635323,89.46571350097656,58.683013916015625,0.038666196167469025,20,5.528169291996164,1924672
sierpinski,2,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.568765833013458,0.052823420614004135,0.6523138284683228,0.975,0.64,0.9731056886001359,0.6060606060606061,0.6043956043956044,0.6032986111111112,0.6060606060606061,0.33499999999999996,0.8311136876133074,0.43749768860785904,0.0034485901705920696,317.8555908203125,25.16008949279785,0.05500854179263115,20,21.63458495802479,1924672
sierpinski,2,umap,8,quack_embedding,random_kta,2,8,0.2,20,101.61655416700523,0.053822774440050125,0.6453980803489685,1.0,0.62,1.0,0.533868092691622,0.5287698412698413,0.5442890442890443,0.533868092691622,0.38,0.9098215210720881,0.270892566038164,0.0027758574578911066,373.6342468261719,21.285463333129883,0.05394834652543068,20,92.6887176670134,1924672
sierpinski,2,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.0976689170056488,0.4256434440612793,0.5116779208183289,0.99,1.0,0.9907834101382489,1.0,1.0,1.0,1.0,-0.010000000000000009,2.361713961403995,2.276662659969093,0.13167475163936615,2.6609811782836914,262.74908447265625,0.8010874390602112,20,0.8804672499827575,1924672
sierpinski,2,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.464974500006065,0.44067150354385376,0.5295315980911255,0.9875,0.98,0.9876230767293697,0.9777183600713013,0.9777183600713013,0.9777183600713013,0.9777183600713013,0.007500000000000062,1.8276892236800635,1.7526123382880052,0.09581274539232254,7.416068077087402,199.22080993652344,0.7569184899330139,20,5.42579887501779,1924672
sierpinski,2,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.72584408300463,0.26229456067085266,0.6179899573326111,0.9975,0.96,0.9976958525345623,0.9696969696969697,0.9565972222222222,0.9473684210526316,0.9696969696969697,0.03750000000000009,1.2068239117788357,0.9583833512164972,0.011246271431446075,152.97877502441406,50.56047439575195,0.35449135303497314,20,21.858390666980995,1924672
sierpinski,2,fs,8,quack_embedding,random_kta,2,8,0.2,20,101.74162600000273,0.08880778402090073,0.6462715864181519,1.0,0.93,1.0,0.9041889483065954,0.9188969991889699,0.9405050995628946,0.9041889483065954,0.06999999999999995,0.9900194673215771,0.4386406195678943,0.0027893821243196726,373.77093505859375,21.691287994384766,0.0935940071940422,20,93.00415016699117,1924672
