dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
parkinsons,1,pca,6,quack_embedding,random_kta,2,8,0.2,100,19.390439833019627,0.9420793056488037,0.00342482328414917,0.8717948717948718,0.8974358974358975,0.7844611528822055,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,1.0167715905570855,0.9565360288015151,0.016018252819776535,2.507415294647217,126.26234436035156,0.33823731541633606,100,17.578094249998685,1273578
parkinsons,1,pca,8,quack_embedding,random_kta,2,8,0.2,100,76.71708987499005,0.9452813863754272,0.012897789478302002,0.8910256410256411,0.8974358974358975,0.8051378446115288,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.0064102564102563875,1.0150476602452936,0.9870546795210523,0.018286246806383133,2.4314944744110107,128.5640106201172,0.3465270698070526,100,72.80100149998907,1273578
parkinsons,1,rp,2,quack_embedding,random_kta,2,8,0.2,100,1.0718732500099577,0.9399992227554321,0.0002384781837463379,0.7307692307692307,0.8461538461538461,0.5,0.5,0.4583333333333333,0.4230769230769231,0.5,-0.11538461538461542,0.9453335278309308,0.8993150309110299,0.0006098774028941989,1.1096044778823853,152.98023986816406,0.2953377366065979,100,0.8802605000091717,1273578
parkinsons,1,rp,4,quack_embedding,random_kta,2,8,0.2,100,5.447234874998685,0.9402428269386292,0.0008512735366821289,0.8141025641025641,0.8461538461538461,0.6848370927318296,0.6363636363636364,0.6558823529411765,0.6928571428571428,0.6363636363636364,-0.03205128205128205,0.9154040658731856,0.8989293998033782,0.004923608619719744,1.4783298969268799,143.94236755371094,0.2715168595314026,100,4.707256749999942,1273578
parkinsons,1,rp,6,quack_embedding,random_kta,2,8,0.2,100,19.582409624999855,0.9274801015853882,0.00938725471496582,0.7884615384615384,0.8717948717948718,0.6071428571428571,0.5833333333333334,0.607645875251509,0.9342105263157895,0.5833333333333334,-0.08333333333333337,0.90062705299511,0.9218421831642394,0.020795650780200958,2.208587884902954,130.27847290039062,0.06259055435657501,100,17.76578541600611,1273578
parkinsons,1,rp,8,quack_embedding,random_kta,2,8,0.2,100,74.06897504199878,0.9358885288238525,0.016581416130065918,0.8589743589743589,0.8974358974358975,0.7456140350877193,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.03846153846153855,0.9931284796604428,0.9612801868555372,0.027302738279104233,2.7619731426239014,123.11141967773438,0.3115319609642029,100,70.16681358299684,1273578
parkinsons,1,umap,2,quack_embedding,random_kta,2,8,0.2,100,1.0621333340241108,0.9403777718544006,0.0007055997848510742,0.8205128205128205,0.8974358974358975,0.6892230576441103,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.07692307692307698,0.9462435214947431,0.9659636242267413,0.005434642545878887,1.3202757835388184,145.6981964111328,0.31021514534950256,100,0.8744968329847325,1273578
parkinsons,1,umap,4,quack_embedding,random_kta,2,8,0.2,100,5.474166208005045,0.9298046231269836,0.029209136962890625,0.8461538461538461,0.9487179487179487,0.7142857142857143,0.8333333333333333,0.8852941176470588,0.9714285714285714,0.8333333333333333,-0.10256410256410253,0.9646935255280132,0.9722272727037821,0.03329494222998619,3.31585431098938,111.36515808105469,0.16917350888252258,100,4.7290220000140835,1273578
parkinsons,1,umap,6,quack_embedding,random_kta,2,8,0.2,100,19.435740624991013,0.9542763829231262,0.0024340152740478516,0.8397435897435898,0.8974358974358975,0.7023809523809523,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.05769230769230771,0.9990455113224667,1.0434594990786383,0.013147242367267609,2.2082831859588623,131.09671020507812,0.2712206542491913,100,17.627023249980994,1273578
parkinsons,1,umap,8,quack_embedding,random_kta,2,8,0.2,100,73.70618495898088,0.9411501884460449,0.011445403099060059,0.8397435897435898,0.8974358974358975,0.7023809523809523,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.05769230769230771,0.9945409619790561,0.9883244316100016,0.04039650782942772,3.2414722442626953,112.31075286865234,0.2942824959754944,100,69.80359295898234,1273578
parkinsons,1,fs,2,quack_embedding,random_kta,2,8,0.2,100,1.0287752080184873,0.9388668537139893,5.781650543212891e-06,0.7307692307692307,0.8461538461538461,0.5,0.5,0.4583333333333333,0.4230769230769231,0.5,-0.11538461538461542,0.9930377079126163,0.9851667284965515,0.00011292750423308462,1.0484822988510132,154.76649475097656,0.3526577651500702,100,0.8512728749774396,1273578
parkinsons,1,fs,4,quack_embedding,random_kta,2,8,0.2,100,5.47568458301248,0.9505324363708496,8.893013000488281e-05,0.8717948717948718,0.8974358974358975,0.7619047619047619,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,0.957540682823728,0.9475451611214755,0.008865748532116413,1.502763271331787,143.5460205078125,0.35602617263793945,100,4.727474416984478,1273578
parkinsons,1,fs,6,quack_embedding,random_kta,2,8,0.2,100,19.573568207997596,0.9476805329322815,0.005449175834655762,0.8717948717948718,0.8974358974358975,0.7619047619047619,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,0.970760257625767,0.9631144473863019,0.01769716665148735,2.476398229598999,127.658935546875,0.28538978099823,100,17.758091375028016,1273578
parkinsons,1,fs,8,quack_embedding,random_kta,2,8,0.2,100,73.82820566699957,0.9358959197998047,0.055422425270080566,0.8589743589743589,0.8974358974358975,0.7456140350877193,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.03846153846153855,1.0193049088138566,0.9833708735998155,0.015749936923384666,2.443883180618286,126.30894470214844,0.23149561882019043,100,69.92926004101173,1273578
parkinsons,2,pca,2,quack_embedding,random_kta,2,8,0.2,100,1.0371762499853503,0.9416685104370117,0.00012636184692382812,0.7307692307692307,0.8461538461538461,0.5,0.5,0.4583333333333333,0.4230769230769231,0.5,-0.11538461538461542,0.9518154874826089,0.9024332425533197,0.0016160428058356047,1.1506197452545166,151.32565307617188,0.236057311296463,100,0.8575964999909047,1273578
parkinsons,2,pca,4,quack_embedding,random_kta,2,8,0.2,100,5.49981870900956,0.9438668489456177,0.0006721019744873047,0.8525641025641025,0.8974358974358975,0.7337092731829573,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.044871794871794934,1.0246573951601865,1.0121610552386329,0.00962165929377079,1.4988924264907837,142.49143981933594,0.41495051980018616,100,4.745542833028594,1273578
parkinsons,2,pca,6,quack_embedding,random_kta,2,8,0.2,100,19.473314207978547,0.9420793056488037,0.00342482328414917,0.8717948717948718,0.8974358974358975,0.7844611528822055,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,1.0167715905570855,0.9565360288015151,0.016018252819776535,2.507415294647217,126.26234436035156,0.33823731541633606,100,17.634427458018763,1273578
parkinsons,2,pca,8,quack_embedding,random_kta,2,8,0.2,100,74.36812687499332,0.9452813863754272,0.012897789478302002,0.8910256410256411,0.8974358974358975,0.8051378446115288,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.0064102564102563875,1.0150476602452936,0.9870546795210523,0.018286246806383133,2.4314944744110107,128.5640106201172,0.3465270698070526,100,70.45244095800444,1273578
parkinsons,2,rp,2,quack_embedding,random_kta,2,8,0.2,100,1.0772449579962995,0.9399992227554321,0.0002384781837463379,0.7307692307692307,0.8461538461538461,0.5,0.5,0.4583333333333333,0.4230769230769231,0.5,-0.11538461538461542,0.9453335278309308,0.8993150309110299,0.0006098774028941989,1.1096044778823853,152.98023986816406,0.2953377366065979,100,0.8860226660035551,1273578
parkinsons,2,rp,4,quack_embedding,random_kta,2,8,0.2,100,5.479589499998838,0.9402428269386292,0.0008512735366821289,0.8141025641025641,0.8461538461538461,0.6848370927318296,0.6363636363636364,0.6558823529411765,0.6928571428571428,0.6363636363636364,-0.03205128205128205,0.9154040658731856,0.8989293998033782,0.004923608619719744,1.4783298969268799,143.94236755371094,0.2715168595314026,100,4.736547292006435,1273578
parkinsons,2,rp,6,quack_embedding,random_kta,2,8,0.2,100,19.39816579199396,0.9274801015853882,0.00938725471496582,0.7884615384615384,0.8717948717948718,0.6071428571428571,0.5833333333333334,0.607645875251509,0.9342105263157895,0.5833333333333334,-0.08333333333333337,0.90062705299511,0.9218421831642394,0.020795650780200958,2.208587884902954,130.27847290039062,0.06259055435657501,100,17.553517458989518,1273578
parkinsons,2,rp,8,quack_embedding,random_kta,2,8,0.2,100,76.29011504200753,0.9358885288238525,0.016581416130065918,0.8589743589743589,0.8974358974358975,0.7456140350877193,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.03846153846153855,0.9931284796604428,0.9612801868555372,0.027302738279104233,2.7619731426239014,123.11141967773438,0.3115319609642029,100,72.38266962501802,1273578
parkinsons,2,umap,2,quack_embedding,random_kta,2,8,0.2,100,1.083024708001176,0.9403777718544006,0.0007055997848510742,0.8205128205128205,0.8974358974358975,0.6892230576441103,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.07692307692307698,0.9462435214947431,0.9659636242267413,0.005434642545878887,1.3202757835388184,145.6981964111328,0.31021514534950256,100,0.8888122079952154,1273578
parkinsons,2,umap,4,quack_embedding,random_kta,2,8,0.2,100,5.461383583984571,0.9298046231269836,0.029209136962890625,0.8461538461538461,0.9487179487179487,0.7142857142857143,0.8333333333333333,0.8852941176470588,0.9714285714285714,0.8333333333333333,-0.10256410256410253,0.9646935255280132,0.9722272727037821,0.03329494222998619,3.31585431098938,111.36515808105469,0.16917350888252258,100,4.720336582977325,1273578
parkinsons,2,umap,6,quack_embedding,random_kta,2,8,0.2,100,19.535547999985283,0.9542763829231262,0.0024340152740478516,0.8397435897435898,0.8974358974358975,0.7023809523809523,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.05769230769230771,0.9990455113224667,1.0434594990786383,0.013147242367267609,2.2082831859588623,131.09671020507812,0.2712206542491913,100,17.70444333300111,1273578
parkinsons,2,umap,8,quack_embedding,random_kta,2,8,0.2,100,76.5183952920197,0.9411501884460449,0.011445403099060059,0.8397435897435898,0.8974358974358975,0.7023809523809523,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.05769230769230771,0.9945409619790561,0.9883244316100016,0.04039650782942772,3.2414722442626953,112.31075286865234,0.2942824959754944,100,72.59753987501608,1273578
parkinsons,2,fs,2,quack_embedding,random_kta,2,8,0.2,100,1.0882569169916678,0.9388668537139893,5.781650543212891e-06,0.7307692307692307,0.8461538461538461,0.5,0.5,0.4583333333333333,0.4230769230769231,0.5,-0.11538461538461542,0.9930377079126163,0.9851667284965515,0.00011292750423308462,1.0484822988510132,154.76649475097656,0.3526577651500702,100,0.8957817920017987,1273578
parkinsons,2,fs,4,quack_embedding,random_kta,2,8,0.2,100,5.519079291989328,0.9505324363708496,8.893013000488281e-05,0.8717948717948718,0.8974358974358975,0.7619047619047619,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,0.957540682823728,0.9475451611214755,0.008865748532116413,1.502763271331787,143.5460205078125,0.35602617263793945,100,4.763860582985217,1273578
parkinsons,2,fs,6,quack_embedding,random_kta,2,8,0.2,100,19.52137462500832,0.9476805329322815,0.005449175834655762,0.8717948717948718,0.8974358974358975,0.7619047619047619,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.02564102564102566,0.970760257625767,0.9631144473863019,0.01769716665148735,2.476398229598999,127.658935546875,0.28538978099823,100,17.710239625012036,1273578
parkinsons,2,fs,8,quack_embedding,random_kta,2,8,0.2,100,76.13334870900144,0.9358959197998047,0.055422425270080566,0.8589743589743589,0.8974358974358975,0.7456140350877193,0.6666666666666666,0.7214285714285714,0.9459459459459459,0.6666666666666666,-0.03846153846153855,1.0193049088138566,0.9833708735998155,0.015749936923384666,2.443883180618286,126.30894470214844,0.23149561882019043,100,72.22863879200304,1273578
