dataset,seed,dr_method,dimension,embedding,kta_method,reps,random_samples,learning_rate,epochs_config,wall_clock_time,final_alignment,final_loss,train_accuracy,test_accuracy,balanced_train_accuracy,balanced_test_accuracy,f1_score,precision,recall,generalization_gap,train_margin,test_margin,kernel_variance,effective_rank,fro_norm,centered_alignment,epochs,training_time,circuit_executions
two_moons,1,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.1173059580032714,0.09478926658630371,0.8491859436035156,0.725,0.66,0.725022502250225,0.6602564102564102,0.6598639455782312,0.66,0.6602564102564102,0.06499999999999995,0.8596624586962117,0.8806999092011081,0.09298436343669891,6.388838768005371,179.0487518310547,0.14885452389717102,20,0.8998509590164758,1924672
two_moons,1,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.584799999982351,0.049990829080343246,0.6909093856811523,0.8275,0.65,0.827957795779578,0.6498397435897436,0.6496847162446202,0.6496598639455782,0.6498397435897436,0.1775,0.8466186497258085,0.8412075393836329,0.01424911618232727,84.29112243652344,61.90052795410156,0.06694428622722626,20,5.558344791003037,1924672
two_moons,1,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.611689624987775,0.05357874184846878,0.6552589535713196,0.9625,0.67,0.9625712571257126,0.671474358974359,0.66996699669967,0.6718185467683662,0.671474358974359,0.2925,0.8292954762185052,0.3804983930331698,0.0034385418985038996,322.3669738769531,25.3666934967041,0.05866261571645737,20,21.68215504201362,1924672
two_moons,1,pca,8,quack_embedding,random_kta,2,8,0.2,20,101.87373679201119,0.05309658125042915,0.648291826248169,1.0,0.65,1.0,0.6530448717948718,0.6491228070175439,0.6558547531619747,0.6530448717948718,0.35,0.9370624118144039,0.14235275564639513,0.002545061521232128,392.3299255371094,20.452192306518555,0.05274564027786255,20,92.96005679099471,1924672
two_moons,1,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1101566249853931,0.010133776813745499,0.8209155797958374,0.5775,0.41,0.5773327332733273,0.4094551282051282,0.40946852166950254,0.4095638255302121,0.4094551282051282,0.16750000000000004,0.6703077686915104,0.6492403640413363,0.08601870387792587,7.24669075012207,163.2691192626953,0.014328601770102978,20,0.8921276250039227,1924672
two_moons,1,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.486574417009251,0.018895195797085762,0.5651587247848511,0.7375,0.56,0.7380488048804881,0.5600961538461539,0.5598239295718287,0.56,0.5600961538461539,0.1775,0.6580822579183833,0.5982572576923534,0.012410554103553295,96.10089874267578,56.814239501953125,0.024953877553343773,20,5.4602471250109375,1924672
two_moons,1,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.66106883401517,0.03615257516503334,0.619155764579773,0.94,0.5,0.9397439743974397,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.43999999999999995,0.7337618062140314,0.3863347740707972,0.004248419776558876,284.3526306152344,28.863956451416016,0.04087264463305473,20,21.76494258301682,1924672
two_moons,1,rp,8,quack_embedding,random_kta,2,8,0.2,20,101.91675562498858,0.050616826862096786,0.6480997800827026,1.0,0.52,1.0,0.5240384615384616,0.5169082125603865,0.525,0.5240384615384616,0.48,0.961349229173548,0.08597639609768395,0.002515681553632021,395.3393249511719,20.26091194152832,0.05127621442079544,20,93.16486595899914,1924672
two_moons,1,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.1010320839995984,0.017300503328442574,0.7640050053596497,0.5925,0.45,0.5923342334233423,0.44791666666666663,0.4472917294744247,0.44747474747474747,0.44791666666666663,0.14250000000000002,0.6682222209547484,0.6680745115314182,0.07954280078411102,7.910707950592041,151.47821044921875,0.022948337718844414,20,0.8817979170125909,1924672
two_moons,1,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.490706208016491,0.020494788885116577,0.6461110711097717,0.8225,0.51,0.8225072507250725,0.5128205128205128,0.5087719298245614,0.5130558955528355,0.5128205128205128,0.3125,0.6729529340261453,0.5206318858984609,0.007658057380467653,136.3076629638672,44.82822799682617,0.028598962351679802,20,5.464599375001853,1924672
two_moons,1,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.677721915999427,0.04651385173201561,0.6610001921653748,0.97,0.57,0.97004700470047,0.5665064102564102,0.5647332725984411,0.5686233980983878,0.5665064102564102,0.4,0.8255919071958695,0.37616798577115373,0.003458143910393119,316.5757751464844,25.056903839111328,0.049862947314977646,20,21.787150291987928,1924672
two_moons,1,umap,8,quack_embedding,random_kta,2,8,0.2,20,101.90583487501135,0.050489142537117004,0.6507537961006165,0.9975,0.57,0.9975247524752475,0.5721153846153846,0.5696126513862476,0.5727272727272728,0.5721153846153846,0.4275000000000001,0.9315819439750294,0.1805924831917468,0.002632492920383811,385.9217529296875,20.71413230895996,0.05096062272787094,20,93.01950991700869,1924672
two_moons,1,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.0962974169815425,0.33341851830482483,0.7993226051330566,0.8775,0.86,0.8775127512751275,0.859775641025641,0.859775641025641,0.859775641025641,0.859775641025641,0.01749999999999996,1.4569986073284795,1.4500288578807254,0.10687420517206192,5.154090404510498,197.5638427734375,0.5218161344528198,20,0.8798295419837814,1924672
two_moons,1,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.472577915992588,0.23838667571544647,0.6770466566085815,0.9975,0.99,0.9974747474747474,0.9903846153846154,0.9899909918927035,0.9897959183673469,0.9903846153846154,0.007500000000000062,1.2271372384404253,1.16007900841776,0.026938708499073982,44.34785842895508,85.06995391845703,0.3325939178466797,20,5.448801082995487,1924672
two_moons,1,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.650427084008697,0.20698754489421844,0.62203049659729,1.0,0.98,1.0,0.9807692307692308,0.9799919967987194,0.98,0.9807692307692308,0.020000000000000018,1.0733599433976142,0.8382001485725009,0.00652162404730916,223.52835083007812,36.31475067138672,0.26060640811920166,20,21.77408029101207,1924672
two_moons,1,fs,8,quack_embedding,random_kta,2,8,0.2,20,101.81971283300663,0.06901221722364426,0.6497333645820618,1.0,0.85,1.0,0.8485576923076923,0.8492613807657522,0.8515151515151516,0.8485576923076923,0.15000000000000002,0.9784649835482867,0.2756062245151185,0.0026224160101264715,386.33526611328125,20.82243537902832,0.06988006085157394,20,93.06658187499852,1924672
two_moons,2,pca,2,quack_embedding,random_kta,2,8,0.2,20,1.1007448339951225,0.09478926658630371,0.8491859436035156,0.725,0.66,0.725022502250225,0.6602564102564102,0.6598639455782312,0.66,0.6602564102564102,0.06499999999999995,0.8596624586962117,0.8806999092011081,0.09298436343669891,6.388838768005371,179.0487518310547,0.14885452389717102,20,0.8848857920092996,1924672
two_moons,2,pca,4,quack_embedding,random_kta,2,8,0.2,20,6.501829832996009,0.049990829080343246,0.6909093856811523,0.8275,0.65,0.827957795779578,0.6498397435897436,0.6496847162446202,0.6496598639455782,0.6498397435897436,0.1775,0.8466186497258085,0.8412075393836329,0.01424911618232727,84.29112243652344,61.90052795410156,0.06694428622722626,20,5.478583832998993,1924672
two_moons,2,pca,6,quack_embedding,random_kta,2,8,0.2,20,24.632689082995057,0.05357874184846878,0.6552589535713196,0.9625,0.67,0.9625712571257126,0.671474358974359,0.66996699669967,0.6718185467683662,0.671474358974359,0.2925,0.8292954762185052,0.3804983930331698,0.0034385418985038996,322.3669738769531,25.3666934967041,0.05866261571645737,20,21.7397509579896,1924672
two_moons,2,pca,8,quack_embedding,random_kta,2,8,0.2,20,101.822621083993,0.05309658125042915,0.648291826248169,1.0,0.65,1.0,0.6530448717948718,0.6491228070175439,0.6558547531619747,0.6530448717948718,0.35,0.9370624118144039,0.14235275564639513,0.002545061521232128,392.3299255371094,20.452192306518555,0.05274564027786255,20,92.9730284580146,1924672
two_moons,2,rp,2,quack_embedding,random_kta,2,8,0.2,20,1.1370914580184035,0.010133776813745499,0.8209155797958374,0.5775,0.41,0.5773327332733273,0.4094551282051282,0.40946852166950254,0.4095638255302121,0.4094551282051282,0.16750000000000004,0.6703077686915104,0.6492403640413363,0.08601870387792587,7.24669075012207,163.2691192626953,0.014328601770102978,20,0.8730366670060903,1924672
two_moons,2,rp,4,quack_embedding,random_kta,2,8,0.2,20,6.517845042020781,0.018895195797085762,0.5651587247848511,0.7375,0.56,0.7380488048804881,0.5600961538461539,0.5598239295718287,0.56,0.5600961538461539,0.1775,0.6580822579183833,0.5982572576923534,0.012410554103553295,96.10089874267578,56.814239501953125,0.024953877553343773,20,5.491407916008029,1924672
two_moons,2,rp,6,quack_embedding,random_kta,2,8,0.2,20,24.650164291990222,0.03615257516503334,0.619155764579773,0.94,0.5,0.9397439743974397,0.500801282051282,0.5,0.500801282051282,0.500801282051282,0.43999999999999995,0.7337618062140314,0.3863347740707972,0.004248419776558876,284.3526306152344,28.863956451416016,0.04087264463305473,20,21.771464541001478,1924672
two_moons,2,rp,8,quack_embedding,random_kta,2,8,0.2,20,101.7870629579993,0.050616826862096786,0.6480997800827026,1.0,0.52,1.0,0.5240384615384616,0.5169082125603865,0.525,0.5240384615384616,0.48,0.961349229173548,0.08597639609768395,0.002515681553632021,395.3393249511719,20.26091194152832,0.05127621442079544,20,92.91854987500119,1924672
two_moons,2,umap,2,quack_embedding,random_kta,2,8,0.2,20,1.1012693750089966,0.017300503328442574,0.7640050053596497,0.5925,0.45,0.5923342334233423,0.44791666666666663,0.4472917294744247,0.44747474747474747,0.44791666666666663,0.14250000000000002,0.6682222209547484,0.6680745115314182,0.07954280078411102,7.910707950592041,151.47821044921875,0.022948337718844414,20,0.8822062499821186,1924672
two_moons,2,umap,4,quack_embedding,random_kta,2,8,0.2,20,6.541987375007011,0.020494788885116577,0.6461110711097717,0.8225,0.51,0.8225072507250725,0.5128205128205128,0.5087719298245614,0.5130558955528355,0.5128205128205128,0.3125,0.6729529340261453,0.5206318858984609,0.007658057380467653,136.3076629638672,44.82822799682617,0.028598962351679802,20,5.520525790983811,1924672
two_moons,2,umap,6,quack_embedding,random_kta,2,8,0.2,20,24.677343832998304,0.04651385173201561,0.6610001921653748,0.97,0.57,0.97004700470047,0.5665064102564102,0.5647332725984411,0.5686233980983878,0.5665064102564102,0.4,0.8255919071958695,0.37616798577115373,0.003458143910393119,316.5757751464844,25.056903839111328,0.049862947314977646,20,21.75356866599759,1924672
two_moons,2,umap,8,quack_embedding,random_kta,2,8,0.2,20,101.93860516700079,0.050489142537117004,0.6507537961006165,0.9975,0.57,0.9975247524752475,0.5721153846153846,0.5696126513862476,0.5727272727272728,0.5721153846153846,0.4275000000000001,0.9315819439750294,0.1805924831917468,0.002632492920383811,385.9217529296875,20.71413230895996,0.05096062272787094,20,93.02106062500388,1924672
two_moons,2,fs,2,quack_embedding,random_kta,2,8,0.2,20,1.110814042011043,0.33341851830482483,0.7993226051330566,0.8775,0.86,0.8775127512751275,0.859775641025641,0.859775641025641,0.859775641025641,0.859775641025641,0.01749999999999996,1.4569986073284795,1.4500288578807254,0.10687420517206192,5.154090404510498,197.5638427734375,0.5218161344528198,20,0.8846302919846494,1924672
two_moons,2,fs,4,quack_embedding,random_kta,2,8,0.2,20,6.466275084007066,0.23838667571544647,0.6770466566085815,0.9975,0.99,0.9974747474747474,0.9903846153846154,0.9899909918927035,0.9897959183673469,0.9903846153846154,0.007500000000000062,1.2271372384404253,1.16007900841776,0.026938708499073982,44.34785842895508,85.06995391845703,0.3325939178466797,20,5.444602042000042,1924672
two_moons,2,fs,6,quack_embedding,random_kta,2,8,0.2,20,24.598113334010122,0.20698754489421844,0.62203049659729,1.0,0.98,1.0,0.9807692307692308,0.9799919967987194,0.98,0.9807692307692308,0.020000000000000018,1.0733599433976142,0.8382001485725009,0.00652162404730916,223.52835083007812,36.31475067138672,0.26060640811920166,20,21.725319457997102,1924672
two_moons,2,fs,8,quack_embedding,random_kta,2,8,0.2,20,101.69495950001874,0.06901221722364426,0.6497333645820618,1.0,0.85,1.0,0.8485576923076923,0.8492613807657522,0.8515151515151516,0.8485576923076923,0.15000000000000002,0.9784649835482867,0.2756062245151185,0.0026224160101264715,386.33526611328125,20.82243537902832,0.06988006085157394,20,92.97147741602384,1924672
